Node,Time,Latency,Throughput
0,0.0009980201721191406,39,100
1,0.0009980201721191406,66,52
2,0.0009980201721191406,37,16
3,0.0009980201721191406,35,109
4,0.0009980201721191406,40,78
5,0.0009980201721191406,48,61
6,0.0009980201721191406,47,72
7,0.0009980201721191406,12,115
8,0.0009980201721191406,26,48
9,0.0009980201721191406,15,92
10,0.0009980201721191406,29,45
11,0.0009980201721191406,2,73
12,0.0009980201721191406,3,994
0,5.014825820922852,40,98
1,5.014825820922852,63,49
2,5.014825820922852,3815,9
3,5.014825820922852,36,105
4,5.014825820922852,38,77
5,5.014825820922852,4623,30
6,5.014825820922852,43,74
7,5.014825820922852,1708,57
8,5.014825820922852,22,53
9,5.014825820922852,15,86
10,5.014825820922852,25,46
11,5.014825820922852,502,39
12,5.014825820922852,40260,360
0,10.023490190505981,42,94
1,10.023490190505981,64,46
2,10.023490190505981,3810,1
3,10.023490190505981,39,115
4,10.023490190505981,36,82
5,10.023490190505981,4626,23
6,10.023490190505981,40,73
7,10.023490190505981,1704,60
8,10.023490190505981,27,44
9,10.023490190505981,20,78
10,10.023490190505981,20,51
11,10.023490190505981,507,45
12,10.023490190505981,40256,368
0,15.031859874725342,47,96
1,15.031859874725342,65,52
2,15.031859874725342,3813,4
3,15.031859874725342,34,110
4,15.031859874725342,37,79
5,15.031859874725342,4621,26
6,15.031859874725342,35,69
7,15.031859874725342,1706,56
8,15.031859874725342,24,49
9,15.031859874725342,19,68
10,15.031859874725342,21,41
11,15.031859874725342,505,45
12,15.031859874725342,40252,368
0,20.03943657875061,49,99
1,20.03943657875061,64,51
2,20.03943657875061,3813,5
3,20.03943657875061,30,104
4,20.03943657875061,38,80
5,20.03943657875061,4620,23
6,20.03943657875061,40,60
7,20.03943657875061,1710,58
8,20.03943657875061,26,53
9,20.03943657875061,20,58
10,20.03943657875061,21,33
11,20.03943657875061,506,35
12,20.03943657875061,40252,369
0,25.04740881919861,52,98
1,25.04740881919861,69,43
2,25.04740881919861,3810,1
3,25.04740881919861,25,97
4,25.04740881919861,34,85
5,25.04740881919861,4621,15
6,25.04740881919861,43,68
7,25.04740881919861,1707,52
8,25.04740881919861,24,58
9,25.04740881919861,18,65
10,25.04740881919861,23,31
11,25.04740881919861,509,29
12,25.04740881919861,40250,359
0,30.052429914474487,55,98
1,30.052429914474487,71,39
2,30.052429914474487,3805,3
3,30.052429914474487,22,101
4,30.052429914474487,34,88
5,30.052429914474487,4622,5
6,30.052429914474487,43,60
7,30.052429914474487,1704,57
8,30.052429914474487,20,62
9,30.052429914474487,13,68
10,30.052429914474487,28,36
