Node,Time,Latency,Throughput,Battery
0,0.0029914379119873047,380820,33,36
1,0.0029985904693603516,330416,35,36
2,0.0029985904693603516,272891,46,36
3,0.0029985904693603516,110541,63,36
4,0.0029985904693603516,1313,51,60
5,0.0029985904693603516,193174,18,25
6,0.0029985904693603516,1,72,100
7,0.0030069351196289062,534870,49,25
8,0.0030069351196289062,13,79,100
9,0.0030069351196289062,2412,38,60
10,0.0030069351196289062,2945936805,22,12
11,0.0030069351196289062,21,74,100
0,5.02012038230896,38234729,21,21
1,5.02012038230896,330414,41,36
2,5.02012038230896,27398457,26,21
3,5.02012038230896,110537,63,36
4,5.02012038230896,1311,54,60
5,5.02012038230896,19414188,11,12
6,5.02012038230896,1,78,100
7,5.02012038230896,53754837,26,12
8,5.02012038230896,16,71,100
9,5.02012038230896,2416,36,60
10,5.02012038230896,295772054820,14,7
11,5.02012038230896,26,69,100
0,10.022209644317627,38234730,25,21
1,10.022209644317627,330415,33,36
2,10.022209644317627,27398462,31,21
3,10.022209644317627,110536,58,36
4,10.022209644317627,1315,56,60
5,10.022209644317627,19414185,15,12
6,10.022209644317627,1,86,100
7,10.022209644317627,53754840,20,12
8,10.022209644317627,13,80,100
9,10.022209644317627,2411,33,60
10,10.022209644317627,295772054819,15,7
11,10.022209644317627,30,67,100
0,15.032226085662842,38234725,25,21
1,15.032226085662842,330414,43,36
2,15.032226085662842,27398460,40,21
3,15.032226085662842,110541,54,36
4,15.032226085662842,1310,46,60
5,15.032226085662842,19414189,12,12
6,15.032226085662842,5,92,100
7,15.032226085662842,53754835,13,12
8,15.032226085662842,12,71,100
9,15.032226085662842,2415,27,60
10,15.032226085662842,295772054824,25,7
11,15.032226085662842,28,67,100
0,20.040990352630615,38234720,24,21
1,20.040990352630615,330412,49,36
2,20.040990352630615,27398458,38,21
3,20.040990352630615,110541,58,36
4,20.040990352630615,1305,56,60
5,20.040990352630615,19414193,19,12
6,20.040990352630615,8,92,100
7,20.040990352630615,53754836,23,12
8,20.040990352630615,15,68,100
9,20.040990352630615,2413,33,60
10,20.040990352630615,295772054823,30,7
11,20.040990352630615,33,70,100
0,25.05260944366455,38234719,24,21
1,25.05260944366455,330410,47,36
2,25.05260944366455,27398460,31,21
3,25.05260944366455,110543,57,36
4,25.05260944366455,1308,64,60
5,25.05260944366455,19414198,18,12
6,25.05260944366455,7,88,100
7,25.05260944366455,53754838,33,12
8,25.05260944366455,14,61,100
9,25.05260944366455,2417,31,60
10,25.05260944366455,295772054821,40,7
11,25.05260944366455,34,65,100
0,30.06635880470276,38234718,14,21
1,30.06635880470276,330415,47,36
2,30.06635880470276,27398460,37,21
3,30.06635880470276,110547,66,36
4,30.06635880470276,1308,63,60
5,30.06635880470276,19414194,20,12
6,30.06635880470276,6,80,100
7,30.06635880470276,53754839,33,12
8,30.06635880470276,18,52,100
9,30.06635880470276,2415,31,60
10,30.06635880470276,295772054820,36,7
11,30.06635880470276,38,67,100
0,35.08040976524353,38234714,14,21
1,35.08040976524353,330411,41,36
2,35.08040976524353,27398457,28,21
3,35.08040976524353,110547,65,36
4,35.08040976524353,1306,56,60
5,35.08040976524353,19414195,14,12
6,35.08040976524353,7,72,100
7,35.08040976524353,53754840,33,12
8,35.08040976524353,17,42,100
9,35.08040976524353,2419,28,60
10,35.08040976524353,295772054818,32,7
11,35.08040976524353,33,75,100
0,40.08635711669922,38234714,15,21
1,40.08635711669922,330408,46,36
2,40.08635711669922,27398458,24,21
3,40.08635711669922,110546,62,36
4,40.08635711669922,1311,58,60
5,40.08635711669922,19414195,20,12
6,40.08635711669922,12,71,100
7,40.08635711669922,53754844,24,12
8,40.08635711669922,22,52,100
9,40.08635711669922,2418,21,60
10,40.08635711669922,295772054814,30,7
11,40.08635711669922,36,83,100
0,45.099926233291626,38234716,16,21
1,45.099926233291626,330404,48,36
2,45.099926233291626,27398455,16,21
3,45.099926233291626,110543,63,36
4,45.099926233291626,1312,63,60
5,45.099926233291626,19414200,15,12
6,45.099926233291626,11,62,100
7,45.099926233291626,53754847,18,12
8,45.099926233291626,25,55,100
9,45.099926233291626,2415,17,60
10,45.099926233291626,295772054811,32,7
11,45.099926233291626,33,82,100
0,50.1128089427948,38234711,20,21
1,50.1128089427948,330401,58,36
2,50.1128089427948,27398458,18,21
3,50.1128089427948,110542,73,36
4,50.1128089427948,1307,62,60
5,50.1128089427948,19414205,8,12
6,50.1128089427948,13,68,100
7,50.1128089427948,53754844,15,12
8,50.1128089427948,29,58,100
9,50.1128089427948,2417,8,60
10,50.1128089427948,295772054810,41,7
11,50.1128089427948,34,87,100
0,55.118696212768555,38234709,16,21
1,55.118696212768555,330406,54,36
2,55.118696212768555,27398462,9,21
3,55.118696212768555,110537,68,36
4,55.118696212768555,1303,70,60
5,55.118696212768555,19414208,1,12
6,55.118696212768555,8,70,100
7,55.118696212768555,53754842,18,12
8,55.118696212768555,31,62,100
9,55.118696212768555,2420,1,60
10,55.118696212768555,295772054813,50,7
11,55.118696212768555,30,80,100
